TestCfg,EncodeMethod,CodecName,EncodePreset,Class,Name,Res,FPS,BitDepth,QP,POC,FrameType,Level,qindex,FrameSize,PSNR_Y,PSNR_U,PSNR_V,SSIM_Y(dB),MS-SSIM_Y(dB),VMAF_Y,VMAF_Y-NEG,PSNR-HVS,CIEDE2000,CAMBI
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,135,20, KEY ,1,187,63636,40.027302,44.966837,44.793250,24.314675,17.907051,94.006592,91.675211,38.474546,40.604460,1.255248
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,135,21, KEY ,1,187,63471,40.015913,44.992752,44.847234,24.317892,17.899460,94.059593,91.770881,38.481616,40.605838,1.294281
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,135,22, KEY ,1,187,63486,40.010389,44.925139,44.838959,24.323842,17.900472,94.182502,91.835587,38.470683,40.594371,1.310469
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,135,23, KEY ,1,187,63710,40.008185,44.971303,44.820028,24.339634,17.908574,94.133903,91.781646,38.465679,40.606819,1.273432
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,135,24, KEY ,1,187,63570,40.021517,44.956489,44.864479,24.310762,17.897372,94.065971,91.763768,38.475812,40.599794,1.267215
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,135,25, KEY ,1,187,63496,40.012422,45.000243,44.845865,24.311111,17.886507,94.030146,91.756182,38.468921,40.602220,1.251809
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,135,26, KEY ,1,187,63744,40.038200,44.975592,44.868540,24.336963,17.916859,94.158391,91.892842,38.503860,40.626366,1.225188
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,135,27, KEY ,1,187,63843,40.024558,44.983964,44.833204,24.358307,17.909087,94.250633,91.960519,38.483342,40.593455,1.209069
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,135,28, KEY ,1,187,63898,40.017387,44.944258,44.825788,24.326996,17.905771,94.335027,92.002542,38.463660,40.582076,1.250931
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,135,29, KEY ,1,187,64001,40.011045,44.944960,44.878611,24.322932,17.906368,94.335398,92.040964,38.461794,40.569600,1.230672
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,160,0, KEY ,1,212,30574,37.408646,42.494398,42.370598,20.009177,15.469784,73.991060,71.294269,34.532401,38.381539,1.347575
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,160,1, KEY ,1,212,30710,37.417900,42.422204,42.374054,20.042431,15.482559,81.245751,78.327427,34.540401,38.367820,1.354942
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,160,2, KEY ,1,212,30588,37.421219,42.372550,42.407700,20.135299,15.532905,81.313486,78.449283,34.549864,38.340689,1.279756
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,160,3, KEY ,1,212,30670,37.431710,42.393473,42.389095,20.090850,15.528564,81.220351,78.338092,34.568547,38.333633,1.354052
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,160,4, KEY ,1,212,30768,37.426577,42.432559,42.377777,20.170290,15.544568,81.255761,78.487903,34.559681,38.405120,1.332685
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,160,5, KEY ,1,212,30843,37.434215,42.421058,42.410065,20.112792,15.532562,80.943909,78.392520,34.561606,38.380462,1.381908
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,160,6, KEY ,1,212,30828,37.433820,42.417678,42.314527,20.174788,15.556641,81.083756,78.178718,34.561594,38.351293,1.348973
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,160,7, KEY ,1,212,30789,37.409590,42.393187,42.370904,20.148217,15.531473,80.954154,78.206065,34.518126,38.321986,1.392477
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,160,8, KEY ,1,212,30736,37.413743,42.378248,42.350895,20.182853,15.557537,80.886487,78.215661,34.532292,38.397970,1.301968
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,160,9, KEY ,1,212,30934,37.431760,42.433205,42.368720,20.189013,15.569556,81.078430,78.411332,34.551635,38.408640,1.229363
AI,aom,av2,0,A1,BoxingPractice_3840x2160_5994fps_10bit_420.y4m,3840x2160,60,10,160,10, KEY ,1,212,30891,37.436913,42.413056,42.406000,20.190393,15.577778,81.240422,78.380754,34.579707,38.387706,1.301447
