TestCfg,EncodeMethod,CodecName,EncodePreset,Class,Name,Res,FPS,BitDepth,QP,POC,FrameType,Level,qindex,FrameSize,PSNR_Y,PSNR_U,PSNR_V,SSIM_Y(dB),MS-SSIM_Y(dB),VMAF_Y,VMAF_Y-NEG,PSNR-HVS,CIEDE2000,CAMBI
STILL,aom,av2,0,F1,flowerfield.y4m,3696x2448,25,8,160,0, KEY ,1,162,86656,36.321499,35.967264,37.114426,24.326225,16.372679,69.937918,67.872094,32.271394,38.079540,0.007471
STILL,aom,av2,0,F1,flowerfield.y4m,3696x2448,25,8,185,0, KEY ,1,187,42791,32.524894,32.747231,33.587718,18.977229,12.930232,46.851410,44.956198,27.842179,34.522106,0.018117
STILL,aom,av2,0,F1,flowers_08.y4m,4032x3024,25,8,60,0, KEY ,1,62,5106265,48.508559,49.693593,51.063807,50.428763,33.343516,97.067258,96.433518,53.918062,48.584665,0.008901
STILL,aom,av2,0,F1,flowers_08.y4m,4032x3024,25,8,85,0, KEY ,1,87,3206606,42.703584,45.530647,47.744011,44.531324,27.368468,96.333500,95.378321,48.948322,43.800929,0.015288
STILL,aom,av2,0,F1,flowers_08.y4m,4032x3024,25,8,110,0, KEY ,1,112,1771240,37.553311,41.915073,44.445553,38.292188,22.384397,94.421090,92.955709,42.736936,39.570424,0.027610
STILL,aom,av2,0,F1,flowers_08.y4m,4032x3024,25,8,135,0, KEY ,1,137,903618,33.146000,38.825110,41.450796,32.196252,18.432516,88.938474,86.739698,36.419576,35.904674,0.053233
STILL,aom,av2,0,F1,flowers_08.y4m,4032x3024,25,8,160,0, KEY ,1,162,424418,29.132247,35.687760,38.495379,26.161297,14.411299,74.368449,72.043408,30.075292,32.425069,0.082568
STILL,aom,av2,0,F1,flowers_08.y4m,4032x3024,25,8,185,0, KEY ,1,187,191161,25.531889,32.462887,35.545507,20.140991,10.600695,51.291821,49.399865,24.256304,29.102692,0.175533
STILL,aom,av2,0,F1,flowers_12.y4m,4032x3024,25,8,60,0, KEY ,1,62,3950318,48.520765,51.765856,53.056955,51.491729,33.756815,97.091320,96.553641,54.096016,48.978862,0.000132
STILL,aom,av2,0,F1,flowers_12.y4m,4032x3024,25,8,85,0, KEY ,1,87,2290021,42.916686,49.174809,50.728992,45.535471,27.898841,96.349375,95.579242,49.205159,44.465853,0.000201
STILL,aom,av2,0,F1,flowers_12.y4m,4032x3024,25,8,110,0, KEY ,1,112,1123748,38.065751,46.492340,48.127259,39.580179,22.844737,94.863542,93.532258,42.751964,40.419538,0.001214
STILL,aom,av2,0,F1,flowers_12.y4m,4032x3024,25,8,135,0, KEY ,1,137,519902,34.252333,43.660035,45.490249,33.441921,18.847665,89.479478,87.842528,36.228730,37.065016,0.016519
STILL,aom,av2,0,F1,flowers_12.y4m,4032x3024,25,8,160,0, KEY ,1,162,255336,30.995813,40.839661,42.756345,27.299255,15.203236,77.448416,75.337145,30.319313,34.024382,0.035866
STILL,aom,av2,0,F1,flowers_12.y4m,4032x3024,25,8,185,0, KEY ,1,187,124191,27.609413,38.183548,39.899214,21.186378,11.518736,57.762780,55.747271,25.090563,30.882667,0.040113
STILL,aom,av2,0,F1,food_02.y4m,4032x3024,25,8,60,0, KEY ,1,62,2944422,48.576082,53.176025,54.251979,45.619621,29.961023,97.029654,96.315312,52.340763,50.720534,0.000509
STILL,aom,av2,0,F1,food_02.y4m,4032x3024,25,8,85,0, KEY ,1,87,1419523,43.275572,50.644050,52.140155,39.380389,23.903479,96.245107,95.252303,47.077501,46.030834,0.002943
STILL,aom,av2,0,F1,food_02.y4m,4032x3024,25,8,110,0, KEY ,1,112,591144,39.115386,47.996189,49.923404,32.896159,18.583730,93.982842,92.631376,40.587915,42.289895,0.035363
STILL,aom,av2,0,F1,food_02.y4m,4032x3024,25,8,135,0, KEY ,1,137,229744,35.950365,45.221789,47.512357,27.699512,15.245109,87.418528,85.571354,35.530754,39.405020,0.111915
STILL,aom,av2,0,F1,food_02.y4m,4032x3024,25,8,160,0, KEY ,1,162,97496,33.320020,42.180781,44.775101,22.424849,12.718992,73.446068,71.342853,31.480002,36.944695,0.364623
STILL,aom,av2,0,F1,food_02.y4m,4032x3024,25,8,185,0, KEY ,1,187,41138,30.536554,38.985032,41.640165,17.206189,10.091092,54.861068,52.706152,27.564449,34.269401,1.168251
STILL,aom,av2,0,F1,fountain.y4m,6406x4270,25,8,60,0, KEY ,1,62,6983277,48.960172,52.035273,52.625381,49.066566,30.243641,96.645122,95.714327,52.113939,51.453252,0.000066
STILL,aom,av2,0,F1,fountain.y4m,6406x4270,25,8,85,0, KEY ,1,87,3751844,43.485120,49.350052,50.119995,43.337403,24.452249,95.497773,94.190775,47.380159,46.559348,0.000505
STILL,aom,av2,0,F1,fountain.y4m,6406x4270,25,8,110,0, KEY ,1,112,1391328,38.456818,46.597305,47.462758,37.326583,18.722224,92.373972,90.668027,41.200513,41.982671,0.001376
STILL,aom,av2,0,F1,fountain.y4m,6406x4270,25,8,135,0, KEY ,1,137,419578,35.303355,43.671444,44.540064,31.357692,15.220211,84.909644,82.766069,36.182178,38.928655,0.477119
STILL,aom,av2,0,F1,fountain.y4m,6406x4270,25,8,160,0, KEY ,1,162,186141,33.390366,40.452597,41.311386,25.949434,13.275846,69.933787,67.578495,32.212056,36.908204,0.600469
STILL,aom,av2,0,F1,fountain.y4m,6406x4270,25,8,185,0, KEY ,1,187,81555,30.956587,37.030224,37.948278,20.735892,10.883061,47.762440,45.615159,28.114424,34.460673,0.486746
STILL,aom,av2,0,F1,lady.y4m,4480x6720,25,8,60,0, KEY ,1,62,5252988,48.932221,55.897968,55.538655,45.715074,27.912101,96.330577,95.520340,50.064826,50.409606,0.157756
STILL,aom,av2,0,F1,lady.y4m,4480x6720,25,8,85,0, KEY ,1,87,1869612,43.486044,54.015750,53.491809,39.072834,21.773424,95.249051,94.099183,45.166446,45.431408,0.942071
STILL,aom,av2,0,F1,lady.y4m,4480x6720,25,8,110,0, KEY ,1,112,363993,40.489592,51.979412,51.334677,33.118604,17.995913,92.316840,90.778932,41.130831,42.572555,5.773593
STILL,aom,av2,0,F1,lady.y4m,4480x6720,25,8,135,0, KEY ,1,137,145684,39.146690,49.883050,49.204191,28.737551,16.360599,84.445177,82.679605,38.439309,41.297777,5.836084
STILL,aom,av2,0,F1,lady.y4m,4480x6720,25,8,160,0, KEY ,1,162,58465,37.472237,47.333182,46.684474,23.851979,14.462695,68.797234,67.149493,35.476977,39.855648,5.828514
STILL,aom,av2,0,F1,lady.y4m,4480x6720,25,8,185,0, KEY ,1,187,22699,35.506599,44.505896,43.934726,18.719105,12.422031,46.912964,45.612292,32.546416,38.031097,5.951638
STILL,aom,av2,0,F1,landscape_05.y4m,4032x3024,25,8,60,0, KEY ,1,62,4185222,48.720869,50.914356,51.844101,48.233194,32.137609,96.910999,96.263927,53.439196,49.634922,0.000002
STILL,aom,av2,0,F1,landscape_05.y4m,4032x3024,25,8,85,0, KEY ,1,87,2527045,43.115652,47.599357,48.867170,42.299630,26.267822,96.108588,95.124992,48.441559,44.773572,0.000062
STILL,aom,av2,0,F1,landscape_05.y4m,4032x3024,25,8,110,0, KEY ,1,112,1259104,37.926717,44.408430,45.802097,36.305484,20.601454,93.729790,92.379496,41.921472,40.292677,0.012893
STILL,aom,av2,0,F1,landscape_05.y4m,4032x3024,25,8,135,0, KEY ,1,137,593108,34.092970,41.313431,42.768815,30.489762,16.866232,87.068967,85.297283,35.882157,36.879633,0.050436
STILL,aom,av2,0,F1,landscape_05.y4m,4032x3024,25,8,160,0, KEY ,1,162,282229,30.669411,38.318759,39.895778,24.428999,13.530975,71.646508,69.768385,30.295213,33.862164,0.128980
STILL,aom,av2,0,F1,landscape_05.y4m,4032x3024,25,8,185,0, KEY ,1,187,126506,27.145861,35.401345,36.985200,18.712018,10.212918,48.919247,47.265242,25.031183,30.772072,0.348677
STILL,aom,av2,0,F1,landscape_15.y4m,4032x3024,25,8,60,0, KEY ,1,62,2751473,49.379513,53.339452,53.912373,44.071545,30.337335,96.962512,96.207912,51.135103,50.456649,1.002709
STILL,aom,av2,0,F1,landscape_15.y4m,4032x3024,25,8,85,0, KEY ,1,87,1616749,44.314317,51.139329,51.711189,38.044340,25.367243,96.193822,95.111970,47.136820,46.366210,3.001235
STILL,aom,av2,0,F1,landscape_15.y4m,4032x3024,25,8,110,0, KEY ,1,112,824479,39.579683,48.891936,49.622477,33.786303,21.114530,94.094209,92.527032,42.471265,42.741353,3.412781
STILL,aom,av2,0,F1,landscape_15.y4m,4032x3024,25,8,135,0, KEY ,1,137,380735,35.574165,46.561697,47.580744,29.020872,17.530810,87.886678,85.906326,37.224669,39.532738,3.412723
STILL,aom,av2,0,F1,landscape_15.y4m,4032x3024,25,8,160,0, KEY ,1,162,172483,32.092940,44.063094,45.345258,24.025649,14.262570,73.639346,71.463971,31.842165,36.581814,3.561878
STILL,aom,av2,0,F1,landscape_15.y4m,4032x3024,25,8,185,0, KEY ,1,187,72705,28.711265,41.421742,42.491808,19.031981,11.193838,51.847082,49.914218,26.748953,33.617153,3.495425
STILL,aom,av2,0,F1,landscape_16.y4m,4032x3024,25,8,60,0, KEY ,1,62,1517967,50.523239,56.814156,57.721492,42.511303,29.692485,96.910667,96.006268,51.353975,52.795509,0.000004
STILL,aom,av2,0,F1,landscape_16.y4m,4032x3024,25,8,85,0, KEY ,1,87,862367,46.434007,54.671374,55.473222,36.729041,24.821466,96.201580,94.857327,46.826930,48.658683,0.000034
STILL,aom,av2,0,F1,landscape_16.y4m,4032x3024,25,8,110,0, KEY ,1,112,457349,42.211981,52.568290,53.407040,30.755008,20.124418,93.728444,91.916300,41.521532,45.021427,0.000361
STILL,aom,av2,0,F1,landscape_16.y4m,4032x3024,25,8,135,0, KEY ,1,137,224414,38.204030,50.390973,51.354298,25.461924,16.203910,86.687003,84.594408,36.478578,41.603763,0.029108
STILL,aom,av2,0,F1,landscape_16.y4m,4032x3024,25,8,160,0, KEY ,1,162,105514,34.523369,48.156204,49.199966,21.177102,13.113384,70.680850,68.582645,31.865417,38.358964,0.175137
STILL,aom,av2,0,F1,landscape_16.y4m,4032x3024,25,8,185,0, KEY ,1,187,45266,31.033443,45.304466,46.473811,16.407077,10.132624,48.347067,46.817719,27.529986,35.273634,0.852200
STILL,aom,av2,0,F1,landscape_18.y4m,4032x3024,25,8,60,0, KEY ,1,62,2502311,49.429203,54.221529,55.761823,40.585859,29.713190,96.923384,96.134010,50.143002,50.915919,1.185558
STILL,aom,av2,0,F1,landscape_18.y4m,4032x3024,25,8,85,0, KEY ,1,87,1462993,44.525377,52.209295,54.020274,35.532693,25.648129,95.952655,94.843967,47.294872,47.125506,1.303749
STILL,aom,av2,0,F1,landscape_18.y4m,4032x3024,25,8,110,0, KEY ,1,112,624583,39.332239,50.261829,52.213904,31.503424,20.942087,93.469648,91.924723,43.059263,43.294429,1.323752
STILL,aom,av2,0,F1,landscape_18.y4m,4032x3024,25,8,135,0, KEY ,1,137,240433,35.830719,48.496651,50.485646,27.419035,17.002456,86.268267,84.411925,37.647852,40.476753,1.333065
STILL,aom,av2,0,F1,landscape_18.y4m,4032x3024,25,8,160,0, KEY ,1,162,98623,33.075259,46.650949,48.378795,22.306052,13.866364,70.941499,68.570870,32.803372,38.107943,1.522889
STILL,aom,av2,0,F1,landscape_18.y4m,4032x3024,25,8,185,0, KEY ,1,187,37830,30.300614,44.112952,45.672395,17.314641,11.118543,48.801817,46.828365,28.544366,35.537151,1.768536
STILL,aom,av2,0,F1,landscape_25.y4m,4032x3024,25,8,60,0, KEY ,1,62,4897406,48.749970,49.009896,50.862036,42.442620,31.313428,96.510081,95.607826,53.063501,46.896374,0.006447
STILL,aom,av2,0,F1,landscape_25.y4m,4032x3024,25,8,85,0, KEY ,1,87,3050071,42.866297,45.706526,48.969964,36.540602,25.252445,94.878458,93.738917,48.427805,42.828599,0.005977
STILL,aom,av2,0,F1,landscape_25.y4m,4032x3024,25,8,110,0, KEY ,1,112,1492739,36.973867,44.228918,47.711358,30.592382,18.978240,91.684678,89.858084,41.739015,39.316758,0.029660
STILL,aom,av2,0,F1,landscape_25.y4m,4032x3024,25,8,135,0, KEY ,1,137,489757,32.204910,42.932669,46.406618,24.252139,12.898919,81.698547,79.638832,34.268661,35.911183,0.531614
STILL,aom,av2,0,F1,landscape_25.y4m,4032x3024,25,8,160,0, KEY ,1,162,94857,29.025928,41.573905,44.884931,18.312131,8.006014,62.762207,60.933360,28.225166,33.261755,4.409293
STILL,aom,av2,0,F1,landscape_25.y4m,4032x3024,25,8,185,0, KEY ,1,187,27318,27.772610,40.166841,42.780860,14.328160,6.459136,44.245104,42.906540,25.856438,31.977798,7.275012
STILL,aom,av2,0,F1,landscape_26.y4m,4032x3024,25,8,60,0, KEY ,1,62,2930138,49.044560,53.091781,53.241616,43.365404,29.831051,96.873020,95.959236,50.887975,50.021493,0.526154
STILL,aom,av2,0,F1,landscape_26.y4m,4032x3024,25,8,85,0, KEY ,1,87,1607272,43.712322,51.372263,51.596977,37.526952,24.667040,95.846965,94.572922,46.985359,45.941005,0.661000
STILL,aom,av2,0,F1,landscape_26.y4m,4032x3024,25,8,110,0, KEY ,1,112,696411,38.904943,49.645362,49.998293,32.491502,20.179187,93.069390,91.256221,42.192319,42.224144,0.675289
STILL,aom,av2,0,F1,landscape_26.y4m,4032x3024,25,8,135,0, KEY ,1,137,278005,35.510375,47.920775,48.197281,27.434923,16.701607,85.265979,82.886458,37.045446,39.467907,0.709921
STILL,aom,av2,0,F1,landscape_26.y4m,4032x3024,25,8,160,0, KEY ,1,162,116612,32.559894,45.799281,46.152058,22.102162,13.481647,68.317311,65.792253,32.097075,36.960764,0.731221
STILL,aom,av2,0,F1,landscape_26.y4m,4032x3024,25,8,185,0, KEY ,1,187,45673,29.532217,43.018377,43.678236,16.960795,10.307125,44.661895,42.601850,27.507597,34.246682,0.895010
STILL,aom,av2,0,F1,landscape_28.y4m,4032x3024,25,8,60,0, KEY ,1,62,3194025,48.854735,51.146313,52.872080,39.730817,29.633265,97.050728,96.437190,51.148931,50.281249,0.416370
STILL,aom,av2,0,F1,landscape_28.y4m,4032x3024,25,8,85,0, KEY ,1,87,1752392,43.587866,48.206161,50.095292,34.138156,24.055027,96.299514,95.415359,46.821542,46.409546,1.882866
STILL,aom,av2,0,F1,landscape_28.y4m,4032x3024,25,8,110,0, KEY ,1,112,855631,39.078797,45.526505,47.439917,30.036710,19.117701,94.410045,93.107663,41.233347,42.949579,5.608064
